company_code,event_date,mean_CAR,t_stat,p_value,significant
2,2023/4/16 0:00,-0.0146,-3.509,0.008,True
1,2021/12/23 0:00,0.0002,0.0511,0.9605,False
1,2019/12/22 0:00,0.0006,0.242,0.8148,False
1,2019/12/26 0:00,-0.0169,-4.0942,0.0035,True
1,2023/11/5 0:00,-0.0061,-1.7277,0.1223,False
4,2021/12/23 0:00,0.0033,0.6702,0.5216,False
4,2022/12/25 0:00,-0.001,-0.1847,0.858,False
1,2020/12/15 0:00,-0.0175,-2.0268,0.0772,False
1,2022/11/20 0:00,0.0106,1.3302,0.2201,False
4,2020/12/15 0:00,-0.0249,-1.6554,0.1364,False
4,2023/11/21 0:00,-0.0613,-5.5398,0.0005,True
1,2020/10/20 0:00,0.1027,9.0253,0.0,True
1,2019/11/28 0:00,-0.0202,-5.5186,0.0006,True
4,2019/8/13 0:00,0.0069,0.84,0.4253,False
5,2019/12/26 0:00,-0.0113,-4.1032,0.0034,True
5,2021/12/23 0:00,-0.005,-1.6639,0.1347,False
1,2023/8/8 0:00,0.0164,7.8119,0.0001,True
1,2022/9/6 0:00,-0.0023,-0.562,0.5895,False
1,2021/8/24 0:00,-0.0735,-5.2926,0.0007,True
5,2020/12/15 0:00,0.0118,8.7015,0.0,True
5,2022/11/20 0:00,0.0277,4.3795,0.0024,True
4,2021/9/12 0:00,0.0192,1.6125,0.1455,False
6,2019/12/26 0:00,-0.0144,-7.9078,0.0,True
4,2020/10/20 0:00,0.1204,10.9677,0.0,True
6,2020/12/15 0:00,-0.0138,-4.8348,0.0013,True
4,2022/11/20 0:00,0.1064,5.1522,0.0009,True
6,2021/12/23 0:00,0.047,6.1143,0.0003,True
4,2023/11/5 0:00,-0.0151,-0.755,0.4719,False
6,2022/11/20 0:00,0.0272,1.3549,0.2125,False
6,2023/11/5 0:00,0.0231,7.9494,0.0,True
7,2021/12/23 0:00,0.0058,1.1416,0.2866,False
7,2020/12/15 0:00,0.0233,2.2809,0.052,False
1,2019/8/6 0:00,0.0456,2.841,0.0218,True
7,2019/12/26 0:00,-0.0365,-3.9179,0.0044,True
7,2023/11/21 0:00,-0.0264,-5.4848,0.0006,True
7,2022/12/25 0:00,0.0038,0.706,0.5002,False
1,2020/8/27 0:00,0.0184,3.1617,0.0134,True
8,2020/12/27 0:00,-0.0345,-6.0093,0.0003,True
8,2019/12/17 0:00,-0.017,-9.2787,0.0,True
5,2019/12/22 0:00,-0.0021,-0.4399,0.6717,False
1,2021/7/22 0:00,-0.081,-5.4638,0.0006,True
5,2020/8/27 0:00,-0.0368,-5.3513,0.0007,True
8,2021/10/31 0:00,-0.0444,-8.3447,0.0,True
8,2023/12/17 0:00,-0.0233,-3.0194,0.0166,True
1,2022/8/21 0:00,0.0442,6.1148,0.0003,True
5,2021/8/24 0:00,0.0304,1.784,0.1123,False
8,2022/12/22 0:00,-0.0227,-6.2274,0.0003,True
1,2023/5/18 0:00,-0.0238,-8.6384,0.0,True
9,2020/12/15 0:00,0.0068,0.5267,0.6127,False
