company_code,company_year,trading_date,event_date,relative_day,stock_return,index_return,date_only,predicted_return,abnormal_return,cumulative_abnormal_return
2,2023,2023-04-12,2023/4/16 0:00,-3,0.000623,-0.000698,2023-04-12,-0.0026358411404644793,0.003258841140464479,0.003258841140464479
2,2023,2023-04-13,2023/4/16 0:00,-2,-0.012461,-0.006909,2023-04-13,-0.010430729671765667,-0.0020302703282343328,0.0012285708122301464
2,2023,2023-04-14,2023/4/16 0:00,-1,-0.002524,0.005657,2023-04-14,0.005339769327482556,-0.007863769327482556,-0.00663519851525241
2,2023,2023-04-17,2023/4/16 0:00,0,0.00759,0.014024,2023-04-17,0.015840466854675765,-0.008250466854675766,-0.014885665369928176
2,2023,2023-04-18,2023/4/16 0:00,1,-0.001883,0.003048,2023-04-18,0.002065439239225465,-0.003948439239225465,-0.01883410460915364
2,2023,2023-04-19,2023/4/16 0:00,2,-0.026415,-0.009004,2023-04-19,-0.013059982847272989,-0.013355017152727012,-0.03218912176188066
2,2023,2023-04-20,2023/4/16 0:00,3,-0.00323,-0.002798,2023-04-20,-0.0052713693832164505,0.0020413693832164507,-0.030147752378664208
2,2023,2023-04-21,2023/4/16 0:00,4,-0.008425,-0.01956,2023-04-21,-0.0263079048141729,0.0178829048141729,-0.012264847564491307
2,2023,2023-04-24,2023/4/16 0:00,5,-0.026144,-0.01238,2023-04-24,-0.017296908250859014,-0.008847091749140987,-0.021111939313632293
1,2021,2021-12-20,2021/12/23 0:00,-3,-0.002846,-0.015004,2021-12-20,-0.0245766450426278,0.0217306450426278,0.0217306450426278
1,2021,2021-12-21,2021/12/23 0:00,-2,0.003995,0.006775,2021-12-21,0.008650575949940731,-0.004655575949940731,0.01707506909268707
1,2021,2021-12-22,2021/12/23 0:00,-1,-0.01137,0.000197,2021-12-22,-0.0013851768251690445,-0.009984823174830956,0.007090245917856116
1,2021,2021-12-23,2021/12/23 0:00,0,-0.004025,0.006976,2021-12-23,0.00895723242725862,-0.01298223242725862,-0.005891986509402505
1,2021,2021-12-24,2021/12/23 0:00,1,-0.000577,-0.005536,2021-12-24,-0.010131751872250886,0.009554751872250886,0.0036627653628483817
1,2021,2021-12-27,2021/12/23 0:00,2,-0.005199,-0.000411,2021-12-27,-0.0023127745277027544,-0.0028862254722972452,0.0007765398905511364
1,2021,2021-12-28,2021/12/23 0:00,3,-0.002904,0.007448,2021-12-28,0.009677341170015051,-0.012581341170015052,-0.011804801279463916
1,2021,2021-12-29,2021/12/23 0:00,4,-0.024461,-0.014626,2021-12-29,-0.023999947786776252,-0.0004610522132237477,-0.012265853492687663
1,2021,2021-12-30,2021/12/23 0:00,5,0.004179,0.007788,2021-12-30,0.010196063569458244,-0.006017063569458244,-0.01828291706214591
1,2019,2019-12-18,2019/12/22 0:00,-3,-0.002424,-0.002231,2019-12-18,-0.0017846040892922678,-0.0006393959107077322,-0.0006393959107077322
1,2019,2019-12-19,2019/12/22 0:00,-2,0.005468,-0.001397,2019-12-19,-0.0007372421418318207,0.00620524214183182,0.005565846231124088
1,2019,2019-12-20,2019/12/22 0:00,-1,0.002417,-0.002457,2019-12-20,-0.0020684215954386237,0.004485421595438624,0.010051267826562712
1,2019,2019-12-23,2019/12/22 0:00,0,-0.021097,-0.012485,2019-12-23,-0.014661881558428269,-0.006435118441571732,0.003616149384990979
1,2019,2019-12-24,2019/12/22 0:00,1,0.009852,0.006519,2019-12-24,0.00920390555132993,0.00064809444867007,0.004264243833661049
1,2019,2019-12-25,2019/12/22 0:00,2,-0.006098,-0.000524,2019-12-25,0.0003590971628839709,-0.006457097162883971,-0.002192853329222922
1,2019,2019-12-26,2019/12/22 0:00,3,0.010429,0.0088,2019-12-26,0.012068453035930985,-0.0016394530359309847,-0.003832306365153907
1,2019,2019-12-27,2019/12/22 0:00,4,0.009715,-0.000984,2019-12-27,-0.00021858448679445324,0.009933584486794452,0.006101278121640546
1,2019,2019-12-30,2019/12/22 0:00,5,-0.003608,0.01482,2019-12-30,0.019628547668679053,-0.023236547668679053,-0.017135269547038506
1,2019,2019-12-23,2019/12/26 0:00,-3,-0.021097,-0.012485,2019-12-23,-0.014051142878164453,-0.007045857121835548,-0.007045857121835548
1,2019,2019-12-24,2019/12/26 0:00,-2,0.009852,0.006519,2019-12-24,0.008920492069763024,0.0009315079302369758,-0.006114349191598572
1,2019,2019-12-25,2019/12/26 0:00,-1,-0.006098,-0.000524,2019-12-25,0.0004070620056579286,-0.006505062005657929,-0.0126194111972565
1,2019,2019-12-26,2019/12/26 0:00,0,0.010429,0.0088,2019-12-26,0.011677716828562362,-0.0012487168285623615,-0.013868128025818861
1,2019,2019-12-27,2019/12/26 0:00,1,0.009715,-0.000984,2019-12-27,-0.00014897630606837322,0.009863976306068372,-0.004004151719750489
1,2019,2019-12-30,2019/12/26 0:00,2,-0.003608,0.01482,2019-12-30,0.0189545660385457,-0.0225625660385457,-0.02656671775829619
1,2019,2019-12-31,2019/12/26 0:00,3,-0.007242,0.003663,2019-12-31,0.005468219421305811,-0.012710219421305811,-0.039276937179602
1,2019,2020-01-02,2019/12/26 0:00,4,0.025532,0.013587,2020-01-02,0.017464141607331504,0.008067858392668496,-0.031209078786933502
1,2019,2020-01-03,2019/12/26 0:00,5,0.018376,-0.001752,2020-01-03,-0.0010773185308635904,0.01945331853086359,-0.011755760256069912
1,2023,2023-11-01,2023/11/5 0:00,-3,0.001912,-0.000414,2023-11-01,-0.00032750961962616106,0.002239509619626161,0.002239509619626161
1,2023,2023-11-02,2023/11/5 0:00,-2,0.0,-0.004715,2023-11-02,-0.005103529463719817,0.005103529463719817,0.007343039083345978
1,2023,2023-11-03,2023/11/5 0:00,-1,0.0,0.008426,2023-11-03,0.009488815751633526,-0.009488815751633526,-0.002145776668287548
1,2023,2023-11-06,2023/11/5 0:00,0,0.020038,0.013524,2023-11-06,0.015149859500805685,0.004888140499194315,0.0027423638309067673
1,2023,2023-11-07,2023/11/5 0:00,1,-0.008419,-0.003537,2023-11-07,-0.003795426376916207,-0.004623573623083792,-0.0018812097921770245
1,2023,2023-11-08,2023/11/5 0:00,2,-0.009434,-0.0024,2023-11-08,-0.002532851496020023,-0.006901148503979977,-0.008782358296157002
1,2023,2023-11-09,2023/11/5 0:00,3,-0.000952,0.000486,2023-11-09,0.0006718900222441691,-0.0016238900222441692,-0.010406248318401172
1,2023,2023-11-10,2023/11/5 0:00,4,-0.018112,-0.00729,2023-11-10,-0.007962922883515482,-0.010149077116484518,-0.02055532543488569
1,2023,2023-11-13,2023/11/5 0:00,5,-0.004854,-0.001973,2023-11-13,-0.0020586918881548774,-0.0027953081118451224,-0.023350633546730813
4,2021,2021-12-20,2021/12/23 0:00,-3,-0.018172,-0.015004,2021-12-20,-0.007498968551423844,-0.010673031448576157,-0.010673031448576157
4,2021,2021-12-21,2021/12/23 0:00,-2,0.013749,0.006775,2021-12-21,0.003472891014211255,0.010276108985788745,-0.00039692246278741176
4,2021,2021-12-22,2021/12/23 0:00,-1,0.018779,0.000197,2021-12-22,0.00015901561943887447,0.018619984380561127,0.018223061917773717
